pickup_community_area,fare,trip_start_month,trip_start_hour,trip_start_day,trip_start_timestamp,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,trip_miles,pickup_census_tract,dropoff_census_tract,payment_type,company,trip_seconds,dropoff_community_area,tips
6.0,7.05,3,17,7,1362244500,41.944226601,-87.655998182,41.922686284,-87.649488729,0.0,,,Credit Card,Taxi Affiliation Services,480.0,7.0,3.0
8.0,4.45,10,3,6,1412910900,41.892507781,-87.626214906,41.892042136,-87.63186395,0.3,,17031081700.0,Cash,Taxi Affiliation Services,240.0,8.0,0.0
41.0,20.05,4,14,5,1429800300,41.794090253,-87.592310855,41.874005383,-87.66351755,8.5,,,Cash,Taxi Affiliation Services,1320.0,28.0,0.0
8.0,6.25,10,9,3,1382432400,41.890922026,-87.618868355,41.877406123,-87.621971652,1.4,,17031320400.0,Credit Card,Choice Taxi Association,360.0,32.0,0.01
76.0,34.85,8,13,2,1439819100,41.97907082,-87.903039661,41.880994471,-87.632746489,16.8,,17031839100.0,Cash,Dispatch Taxi Affiliation,2280.0,32.0,0.0
8.0,9.85,8,23,7,1376176500,41.898331794,-87.620762865,41.870607372,-87.622172937,0.22,,17031320600.0,Cash,,900.0,32.0,0.0
7.0,8.05,3,16,1,1362933000,41.922686284,-87.649488729,41.899602111,-87.633308037,0.1,,,Cash,Blue Ribbon Taxi Association Inc.,540.0,8.0,0.0
32.0,6.05,1,14,6,1420812900,41.880994471,-87.632746489,41.879255084,-87.642648998,0.9,,17031281900.0,Credit Card,Dispatch Taxi Affiliation,420.0,28.0,1.0
8.0,6.85,10,17,5,1445535900,41.890922026,-87.618868355,41.880994471,-87.632746489,0.0,,17031839100.0,Cash,Taxi Affiliation Services,600.0,32.0,0.0
8.0,4.25,2,18,5,1392919200,41.892042136,-87.63186395,41.892072635,-87.628874157,0.2,,17031081600.0,Cash,,180.0,8.0,0.0
1.0,6.05,11,19,6,1415389500,42.009622881,-87.670166857,41.9867118,-87.663416405,0.0,,,Cash,Blue Ribbon Taxi Association Inc.,420.0,77.0,0.0
32.0,8.45,6,13,6,1372425300,41.880994471,-87.632746489,41.914616286,-87.631717366,0.1,,17031071500.0,Cash,Taxi Affiliation Services,540.0,7.0,0.0
32.0,10.45,1,2,2,1389580200,41.878865584,-87.625192142,41.874005383,-87.66351755,3.7,,,Cash,,420.0,28.0,0.0
8.0,3.85,8,6,2,1408344300,41.892042136,-87.63186395,41.880994471,-87.632746489,0.31,,17031839100.0,Credit Card,,120.0,32.0,1.0
28.0,6.65,8,7,3,1439882100,41.88528132,-87.6572332,41.880994471,-87.632746489,0.0,,17031839100.0,Cash,Taxi Affiliation Services,420.0,32.0,0.0
32.0,4.84,2,13,4,1424264400,41.880994471,-87.632746489,41.885300022,-87.642808466,0.8,,17031280100.0,Credit Card,,180.0,28.0,2.0
28.0,14.05,3,10,3,1426587300,41.874005383,-87.66351755,41.842076117,-87.633973422,4.7,,,Cash,,960.0,34.0,0.0
8.0,4.25,6,19,6,1403897400,41.898331794,-87.620762865,41.890922026,-87.618868355,0.0,,17031081403.0,Cash,Taxi Affiliation Services,120.0,8.0,0.0
8.0,6.65,6,14,2,1434376800,41.892507781,-87.626214906,41.880994471,-87.632746489,1.0,,17031839100.0,Credit Card,,540.0,32.0,2.0
8.0,5.85,1,14,3,1421160300,41.899602111,-87.633308037,41.922686284,-87.649488729,1.3,,,Cash,,240.0,7.0,0.0
76.0,35.05,7,13,1,1373203800,41.97907082,-87.903039661,41.892507781,-87.626214906,0.0,,17031081500.0,Cash,Taxi Affiliation Services,1620.0,8.0,0.0
