pickup_community_area,fare,trip_start_month,trip_start_hour,trip_start_day,trip_start_timestamp,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,trip_miles,pickup_census_tract,dropoff_census_tract,payment_type,company,trip_seconds,dropoff_community_area,tips
8.0,7.65,4,9,3,1430212500,41.900221297,-87.629105186,41.880994471,-87.632746489,1.3,,17031839100.0,No Charge,Dispatch Taxi Affiliation,660.0,32.0,0.0
24.0,4.85,9,0,1,1377995400,41.89830587,-87.653613982,41.88528132,-87.6572332,0.0,,17031833000.0,Credit Card,Choice Taxi Association,240.0,28.0,1.0
60.0,27.05,10,2,3,1380593700,41.836150155,-87.648787952,,,12.6,,,Cash,Taxi Affiliation Services,1380.0,,0.0
32.0,16.65,6,17,6,1433524500,41.880994471,-87.632746489,41.953400044,-87.646007066,0.4,,17031060800.0,Cash,Taxi Affiliation Services,1020.0,6.0,0.0
28.0,5.85,12,20,4,1450296000,41.885300022,-87.642808466,41.892042136,-87.63186395,0.0,,17031081700.0,Cash,Blue Ribbon Taxi Association Inc.,360.0,8.0,0.0
8.0,6.25,2,22,2,1393281900,41.892042136,-87.63186395,41.902788048,-87.62614559,1.2,,17031081202.0,Cash,,360.0,8.0,0.0
6.0,15.45,7,19,7,1406402100,41.950673358,-87.666536281,41.902788048,-87.62614559,0.0,,17031081202.0,Cash,Taxi Affiliation Services,1500.0,8.0,0.0
28.0,6.85,12,9,5,1386236700,41.885300022,-87.642808466,41.89321636,-87.63784421,0.0,,17031081800.0,Cash,Taxi Affiliation Services,600.0,8.0,0.0
76.0,38.25,6,10,6,1435313700,41.980264315,-87.913624596,,,1.0,,,Credit Card,Taxi Affiliation Services,2220.0,,5.0
35.0,3.25,10,16,5,1444925700,41.84201118,-87.622036461,41.84201118,-87.622036461,0.0,,17031839200.0,Cash,Chicago Elite Cab Corp. (Chicago Carriag,0.0,35.0,0.0
76.0,34.04,6,22,7,1370124000,41.97907082,-87.903039661,,,17.0,,,Credit Card,,1380.0,,0.0
8.0,15.85,10,19,3,1444158000,41.89503345,-87.619710672,41.87866742,-87.671653621,5.7,,17031838100.0,Cash,6488 - 83287 Zuha Taxi,1320.0,28.0,0.0
24.0,6.05,7,3,7,1373080500,41.912364354,-87.675062757,41.899737388,-87.664953917,0.0,,17031242000.0,Cash,Taxi Affiliation Services,360.0,24.0,0.0
8.0,36.85,11,5,6,1384491600,41.890922026,-87.618868355,41.97907082,-87.903039661,1.1,,17031980000.0,Credit Card,Taxi Affiliation Services,1380.0,76.0,7.75
6.0,6.45,6,2,1,1401589800,41.946294536,-87.654298084,41.957530922,-87.66661144,1.3,,17031060100.0,Credit Card,,420.0,6.0,2.0
8.0,4.45,12,8,6,1418371200,41.892042136,-87.63186395,41.880994471,-87.632746489,0.7,,17031839100.0,Cash,,120.0,32.0,0.0
32.0,14.25,10,12,4,1383134400,41.878865584,-87.625192142,41.944226601,-87.655998182,0.0,,,Cash,Taxi Affiliation Services,780.0,6.0,0.0
32.0,5.65,10,19,5,1414093500,41.880994471,-87.632746489,41.88528132,-87.6572332,1.2,,17031833000.0,Cash,Dispatch Taxi Affiliation,300.0,28.0,0.0
32.0,10.25,4,11,2,1398684600,41.884987192,-87.620992913,41.870415,-87.675085621,0.2,,17031838200.0,Unknown,Taxi Affiliation Services,660.0,28.0,0.0
32.0,5.65,2,9,7,1391851800,41.884987192,-87.620992913,41.890922026,-87.618868355,0.9,,17031081403.0,Cash,,360.0,8.0,0.0
8.0,18.05,3,19,3,1427831100,41.902788048,-87.62614559,41.958055933,-87.660389456,7.1,,17031830700.0,Credit Card,,1260.0,3.0,9.0
24.0,6.85,4,20,7,1396728000,41.89830587,-87.653613982,41.892042136,-87.63186395,1.3,,17031081700.0,Cash,Taxi Affiliation Services,540.0,8.0,0.0
32.0,15.45,8,8,6,1377245700,41.884987192,-87.620992913,41.884987192,-87.620992913,0.0,,17031320100.0,Cash,Chicago Elite Cab Corp. (Chicago Carriag,1020.0,32.0,0.0
77.0,4.45,9,18,1,1411322400,41.9867118,-87.663416405,41.96581197,-87.655878786,0.7,,,Cash,,60.0,3.0,0.0
8.0,15.25,9,3,7,1380339000,41.89321636,-87.63784421,41.942691844,-87.651770507,0.0,,17031062100.0,Cash,Dispatch Taxi Affiliation,1140.0,6.0,0.0
32.0,4.45,9,14,1,1411308000,41.884987192,-87.620992913,41.884987192,-87.620992913,0.6,,17031320100.0,Cash,,180.0,32.0,0.0
76.0,14.85,3,16,3,1363105800,41.980264315,-87.913624596,,,0.0,,,Cash,Dispatch Taxi Affiliation,780.0,,0.0
56.0,25.05,1,12,4,1422446400,41.785998518,-87.750934289,41.870607372,-87.622172937,11.6,,17031320600.0,Credit Card,Northwest Management LLC,1140.0,32.0,3.0
32.0,0.0,2,10,4,1392200100,41.870607372,-87.622172937,,,0.0,,,Unknown,Taxi Affiliation Services,,,0.0
8.0,8.25,5,14,5,1401374700,41.899155613,-87.626210532,41.885300022,-87.642808466,1.7,,17031280100.0,Cash,Choice Taxi Association,720.0,28.0,0.0
8.0,5.85,1,10,7,1422093600,41.90749193,-87.63576009,41.89321636,-87.63784421,1.2,,17031081800.0,Credit Card,Dispatch Taxi Affiliation,360.0,8.0,1.2
5.0,7.0,8,18,4,1472668200,41.947791586,-87.683834942,41.944226601,-87.655998182,1.3,,,Credit Card,Taxi Affiliation Services,420.0,6.0,2.0
2.0,7.0,4,20,4,1459975500,42.001571027,-87.695012589,42.001571027,-87.695012589,1.2,,,Cash,,420.0,2.0,0.0
68.0,0.0,4,11,3,1398771000,41.777196255,-87.642497527,41.77887686,-87.594925439,2.0,,,Cash,Taxi Affiliation Services,1140.0,42.0,0.0
32.0,7.25,12,22,3,1417559400,41.870607372,-87.622172937,41.879255084,-87.642648998,0.0,,17031281900.0,Cash,Taxi Affiliation Services,540.0,28.0,0.0
25.0,2.25,3,8,2,1364200200,41.890608853,-87.756046711,41.890608853,-87.756046711,0.0,,,Cash,,0.0,25.0,0.0
28.0,6.05,12,20,7,1387658700,41.879255084,-87.642648998,41.88528132,-87.6572332,0.9,,17031833000.0,Cash,KOAM Taxi Association,360.0,28.0,0.0
76.0,34.65,11,12,7,1416053700,41.97907082,-87.903039661,41.921854911,-87.646210977,16.3,,17031071200.0,Credit Card,,1920.0,7.0,5.0
28.0,17.0,9,8,4,1475052300,41.874005383,-87.66351755,41.92276062,-87.699155343,5.7,,,Credit Card,,780.0,22.0,3.4
16.0,7.25,8,3,7,1406951100,41.953582125,-87.72345239,41.968069,-87.721559063,2.0,,,Cash,Taxi Affiliation Services,360.0,14.0,0.0
8.0,9.0,3,22,3,1457475300,41.89321636,-87.63784421,41.891971508,-87.612945414,0.0,,17031081402.0,Cash,Taxi Affiliation Services,780.0,8.0,0.0
59.0,3.25,6,14,4,1403101800,41.833517886,-87.681355829,41.833517886,-87.681355829,0.0,,17031840300.0,Cash,Taxi Affiliation Services,0.0,59.0,0.0
5.0,14.65,8,8,3,1377592200,41.947791586,-87.683834942,41.878865584,-87.625192142,0.3,,,Credit Card,Taxi Affiliation Services,1080.0,32.0,2.9
32.0,8.85,12,19,3,1419966000,41.880994471,-87.632746489,41.899155613,-87.626210532,1.4,,17031081201.0,Credit Card,,900.0,8.0,3.0
8.0,7.25,5,3,7,1432955700,41.89503345,-87.619710672,41.870607372,-87.622172937,0.19,,17031320600.0,Credit Card,,360.0,32.0,2.0
32.0,8.05,10,19,5,1444935600,41.884987192,-87.620992913,41.892042136,-87.63186395,0.7,,17031081700.0,Cash,Dispatch Taxi Affiliation,900.0,8.0,0.0
76.0,40.85,11,18,1,1417373100,41.97907082,-87.903039661,41.892072635,-87.628874157,17.7,,17031081600.0,Credit Card,Choice Taxi Association,2700.0,8.0,8.55
32.0,9.25,12,18,3,1448993700,41.880994471,-87.632746489,41.898331794,-87.620762865,1.9,,17031081300.0,Credit Card,Choice Taxi Association,960.0,8.0,3.0
32.0,12.05,12,22,3,1418768100,41.884987192,-87.620992913,41.921701492,-87.655911848,3.7,,17031071000.0,Credit Card,,1020.0,7.0,3.0
8.0,7.25,12,3,1,1481427900,41.900221297,-87.629105186,41.891971508,-87.612945414,1.4,,17031081402.0,Credit Card,Dispatch Taxi Affiliation,480.0,8.0,2.0
6.0,7.25,5,19,3,1432666800,41.944226601,-87.655998182,41.947791586,-87.683834942,1.6,,,Cash,Taxi Affiliation Services,600.0,5.0,0.0
8.0,10.05,6,14,2,1402324200,41.899602111,-87.633308037,41.901206994,-87.676355989,3.1,,,Cash,,600.0,24.0,0.0
28.0,22.05,10,20,5,1414701000,41.885300022,-87.642808466,41.963184966,-87.683854556,9.4,,17031040900.0,Credit Card,,1500.0,4.0,4.61
32.0,14.45,3,22,2,1426545000,41.878865584,-87.625192142,41.944226601,-87.655998182,5.5,,,Credit Card,,840.0,6.0,2.17
28.0,12.85,4,13,5,1397136600,41.879066994,-87.657005027,41.907520075,-87.6266589,3.4,,17031080100.0,Cash,,1200.0,8.0,0.0
8.0,6.85,8,1,6,1377219600,41.899602111,-87.633308037,41.901206994,-87.676355989,0.0,,,Cash,Taxi Affiliation Services,300.0,24.0,0.0
24.0,12.65,12,21,3,1388526300,41.892433156,-87.66962393,41.877406123,-87.621971652,3.7,,17031320400.0,Cash,,1200.0,32.0,0.0
8.0,7.65,1,9,7,1420277400,41.890922026,-87.618868355,41.880994471,-87.632746489,1.6,,17031839100.0,Credit Card,Taxi Affiliation Services,600.0,32.0,3.0
32.0,4.85,8,12,3,1438691400,41.880994471,-87.632746489,41.880994471,-87.632746489,0.0,,17031839100.0,Cash,Blue Ribbon Taxi Association Inc.,300.0,32.0,0.0
8.0,9.25,8,12,4,1407933000,41.899155613,-87.626210532,41.884987192,-87.620992913,1.8,,17031320100.0,Credit Card,Taxi Affiliation Services,720.0,32.0,2.0
22.0,3.65,7,5,7,1374297300,41.92276062,-87.699155343,41.92276062,-87.699155343,0.0,,,Cash,Taxi Affiliation Services,120.0,22.0,0.0
8.0,5.45,9,18,7,1443290400,41.892507781,-87.626214906,41.900265687,-87.63210922,0.0,,17031081000.0,Cash,Taxi Affiliation Services,300.0,8.0,0.0
32.0,5.05,4,14,3,1396968300,41.880994471,-87.632746489,41.880994471,-87.632746489,0.0,,17031839100.0,Cash,Blue Ribbon Taxi Association Inc.,300.0,32.0,0.0
8.0,31.05,5,13,1,1367758800,41.898331794,-87.620762865,41.785998518,-87.750934289,0.0,,17031980100.0,Cash,Taxi Affiliation Services,1860.0,56.0,0.0
32.0,8.5,10,21,3,1476220500,41.884987192,-87.620992913,41.879255084,-87.642648998,1.5,,17031281900.0,Credit Card,,660.0,28.0,0.0
8.0,5.65,1,19,3,1389726900,41.89503345,-87.619710672,41.89321636,-87.63784421,1.0,,17031081800.0,Credit Card,2192 - Zeymane Corp,300.0,8.0,1.0
8.0,9.85,10,18,2,1382380200,41.898331794,-87.620762865,41.906650766,-87.66533766,2.7,,17031241600.0,Cash,,840.0,24.0,0.0
8.0,7.05,10,18,4,1382551200,41.892507781,-87.626214906,41.880994471,-87.632746489,0.9,,17031839100.0,Cash,,600.0,32.0,0.0
7.0,10.25,6,21,4,1403730000,41.922686284,-87.649488729,41.953582125,-87.72345239,3.0,,,Cash,,840.0,16.0,0.0
6.0,11.25,9,23,7,1379201400,41.936159071,-87.661265218,41.906025969,-87.675311622,0.0,,17031241400.0,Cash,Dispatch Taxi Affiliation,960.0,24.0,0.0
56.0,28.25,9,19,7,1442085300,41.785998518,-87.750934289,41.890922026,-87.618868355,0.7,,17031081403.0,Credit Card,Taxi Affiliation Services,1740.0,8.0,6.05
32.0,4.85,4,17,2,1398099600,41.880994471,-87.632746489,41.880994471,-87.632746489,0.0,,17031839100.0,Cash,Taxi Affiliation Services,300.0,32.0,0.0
1.0,11.75,10,15,6,1475854200,42.009622881,-87.670166857,,,3.1,,,Cash,,780.0,,0.0
8.0,7.25,4,19,2,1366055100,41.89503345,-87.619710672,41.87101588,-87.631406525,1.6,,17031839000.0,Credit Card,,480.0,32.0,2.0
8.0,6.05,6,21,4,1370467800,41.90749193,-87.63576009,41.89321636,-87.63784421,1.3,,17031081800.0,Cash,,300.0,8.0,0.0
8.0,5.85,10,18,2,1444068000,41.890922026,-87.618868355,41.898331794,-87.620762865,0.6,,17031081300.0,Credit Card,Dispatch Taxi Affiliation,480.0,8.0,3.0
28.0,12.5,12,1,1,1481419800,41.874005383,-87.66351755,41.944226601,-87.655998182,0.2,,,Credit Card,Taxi Affiliation Services,600.0,6.0,2.5
24.0,8.85,6,16,7,1403973000,41.892658108,-87.652534484,41.900265687,-87.63210922,0.2,,17031081000.0,Cash,,660.0,8.0,0.0
24.0,3.25,4,15,7,1428764400,41.901206994,-87.676355989,41.901206994,-87.676355989,0.1,,,Cash,Dispatch Taxi Affiliation,0.0,24.0,0.0
8.0,4.45,6,1,3,1402968600,41.892072635,-87.628874157,41.890922026,-87.618868355,0.5,,17031081403.0,Cash,Taxi Affiliation Services,180.0,8.0,0.0
6.0,17.25,10,18,4,1383158700,41.944226601,-87.655998182,41.901206994,-87.676355989,5.4,,,Credit Card,,1800.0,24.0,2.75
32.0,4.25,5,20,6,1370032200,41.880994471,-87.632746489,41.880994471,-87.632746489,0.5,,17031839100.0,Cash,,120.0,32.0,0.0
6.0,3.45,1,5,1,1420347600,41.944226601,-87.655998182,41.944226601,-87.655998182,0.1,,,Cash,3253 - 91138 Gaither Cab Co.,60.0,6.0,0.0
8.0,8.05,11,10,3,1447150500,41.904935302,-87.649907226,41.884987192,-87.620992913,0.1,,17031320100.0,Credit Card,Taxi Affiliation Services,660.0,32.0,2.0
8.0,11.05,8,20,1,1407703500,41.891971508,-87.612945414,41.938391258,-87.63857492,0.0,,17031063200.0,Credit Card,Blue Ribbon Taxi Association Inc.,540.0,6.0,1.0
56.0,42.25,11,21,6,1447450200,41.79259236,-87.769615453,42.009622881,-87.670166857,1.2,,,Credit Card,Taxi Affiliation Services,2040.0,1.0,9.0
8.0,4.65,3,8,7,1425717900,41.892507781,-87.626214906,41.892072635,-87.628874157,0.5,,17031081600.0,Cash,Dispatch Taxi Affiliation,240.0,8.0,0.0
8.0,9.65,4,22,7,1397945700,41.899602111,-87.633308037,41.874005383,-87.66351755,3.0,,,Cash,,660.0,28.0,0.0
8.0,5.05,4,14,3,1396967400,41.892042136,-87.63186395,41.892507781,-87.626214906,0.0,,17031081500.0,Cash,Taxi Affiliation Services,240.0,8.0,0.0
8.0,6.25,5,10,4,1401272100,41.899155613,-87.626210532,41.890922026,-87.618868355,0.0,,17031081403.0,Cash,Taxi Affiliation Services,420.0,8.0,0.0
28.0,11.45,12,17,4,1451495700,41.874005383,-87.66351755,41.92276062,-87.699155343,0.2,,,Cash,Taxi Affiliation Services,900.0,22.0,0.0
7.0,10.05,7,0,1,1406421000,41.921854911,-87.646210977,41.958154876,-87.653021789,3.6,,17031032100.0,Credit Card,5129 - Mengisti Taxi,540.0,3.0,2.4
8.0,5.65,7,16,2,1373904900,41.891971508,-87.612945414,41.884987192,-87.620992913,1.2,,17031320100.0,Cash,,300.0,32.0,0.0
33.0,11.25,5,9,3,1430817300,41.859349715,-87.617358006,41.879255084,-87.642648998,2.6,,17031281900.0,Cash,,1140.0,28.0,0.0
7.0,9.05,3,0,7,1396053000,41.914747305,-87.654007029,41.892042136,-87.63186395,2.5,,17031081700.0,Cash,Northwest Management LLC,720.0,8.0,0.0
32.0,6.05,9,22,2,1411425900,41.880994471,-87.632746489,41.892042136,-87.63186395,0.0,,17031081700.0,Credit Card,Taxi Affiliation Services,360.0,8.0,2.0
22.0,13.45,5,9,1,1399194900,41.92276062,-87.699155343,41.96581197,-87.655878786,0.2,,,Cash,Taxi Affiliation Services,960.0,3.0,0.0
32.0,6.0,12,9,6,1483091100,41.880994471,-87.632746489,41.89321636,-87.63784421,0.0,,17031081800.0,Cash,Taxi Affiliation Services,300.0,8.0,0.0
